TIME,CITYCODE,PROVINCE,CITYNAME,STATIONID,LONGITUDE,LATITUDE,PM2.5(μg/m³)
2016-01-01T00:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,181
2016-01-01T00:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,175
2016-01-01T00:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,175
2016-01-01T00:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,218
2016-01-01T00:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,231
2016-01-01T00:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,241
2016-01-01T00:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,169
2016-01-01T00:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,170
2016-01-01T00:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,228
2016-01-01T00:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,214
2016-01-01T01:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,181
2016-01-01T01:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,157
2016-01-01T01:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,173
2016-01-01T01:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,220
2016-01-01T01:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,234
2016-01-01T01:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,232
2016-01-01T01:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,156
2016-01-01T01:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,152
2016-01-01T01:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,221
2016-01-01T01:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,220
2016-01-01T02:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,176
2016-01-01T02:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,158
2016-01-01T02:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,161
2016-01-01T02:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,222
2016-01-01T02:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,235
2016-01-01T02:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,222
2016-01-01T02:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,154
2016-01-01T02:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,161
2016-01-01T02:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,217
2016-01-01T02:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,206
2016-01-01T03:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,168
2016-01-01T03:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,156
2016-01-01T03:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,177
2016-01-01T03:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,228
2016-01-01T03:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,227
2016-01-01T03:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,212
2016-01-01T03:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,153
2016-01-01T03:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,159
2016-01-01T03:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,213
2016-01-01T03:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,213
2016-01-01T04:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,164
2016-01-01T04:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,142
2016-01-01T04:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,164
2016-01-01T04:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,207
