TIME,CITYCODE,PROVINCE,CITYNAME,STATIONID,LONGITUDE,LATITUDE,PM2.5(μg/m³)
2016-02-01T00:00:00Z,101010100,Beijing,Beijing,1001A,116.375000,39.886000,63
2016-02-01T00:00:00Z,101010100,Beijing,Beijing,1002A,116.232000,40.301000,4
2016-02-01T00:00:00Z,101010100,Beijing,Beijing,1003A,116.396000,39.930000,12
2016-02-01T00:00:00Z,101010100,Beijing,Beijing,1005A,116.470000,39.947000,11
2016-02-01T00:00:00Z,101010100,Beijing,Beijing,1006A,116.365000,39.937000,14
2016-02-01T00:00:00Z,101010100,Beijing,Beijing,1007A,116.306000,39.973000,21
2016-02-01T00:00:00Z,101010100,Beijing,Beijing,1008A,116.659000,40.187000,24
2016-02-01T00:00:00Z,101010100,Beijing,Beijing,1009A,116.647000,40.308000,50
2016-02-01T00:00:00Z,101010100,Beijing,Beijing,1010A,116.227000,40.229000,18
2016-02-01T00:00:00Z,101010100,Beijing,Beijing,1011A,116.407000,39.991000,15
2016-02-01T00:00:00Z,101010100,Beijing,Beijing,1012A,116.502000,40.110000,15
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1001A,116.375000,39.886000,15
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1002A,116.232000,40.301000,5
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1003A,116.396000,39.930000,14
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1004A,116.413000,39.886000,17
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1005A,116.470000,39.947000,12
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1006A,116.365000,39.937000,19
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1007A,116.306000,39.973000,25
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1008A,116.659000,40.187000,20
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1009A,116.647000,40.308000,44
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1010A,116.227000,40.229000,18
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1011A,116.407000,39.991000,17
2016-02-01T01:00:00Z,101010100,Beijing,Beijing,1012A,116.502000,40.110000,8
2016-02-01T02:00:00Z,101010100,Beijing,Beijing,1001A,116.375000,39.886000,23
2016-02-01T02:00:00Z,101010100,Beijing,Beijing,1002A,116.232000,40.301000,3
2016-02-01T02:00:00Z,101010100,Beijing,Beijing,1003A,116.396000,39.930000,8
2016-02-01T02:00:00Z,101010100,Beijing,Beijing,1004A,116.413000,39.886000,15
