TIME,CITYCODE,PROVINCE,CITYNAME,STATIONID,LONGITUDE,LATITUDE,PM2.5(μg/m³)
2016-03-01T00:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,59
2016-03-01T00:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,104
2016-03-01T00:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,78
2016-03-01T00:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,111
2016-03-01T00:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,93
2016-03-01T00:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,90
2016-03-01T00:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,114
2016-03-01T00:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,79
2016-03-01T00:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,107
2016-03-01T00:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,31
2016-03-01T01:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,55
2016-03-01T01:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,92
2016-03-01T01:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,77
2016-03-01T01:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,93
2016-03-01T01:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,90
2016-03-01T01:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,90
2016-03-01T01:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,106
2016-03-01T01:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,69
2016-03-01T01:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,86
2016-03-01T01:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,30
2016-03-01T03:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,73
2016-03-01T03:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,112
2016-03-01T03:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,92
2016-03-01T03:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,99
2016-03-01T03:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,113
2016-03-01T03:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,109
2016-03-01T03:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,120
2016-03-01T03:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,81
2016-03-01T03:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,118
2016-03-01T03:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,42
2016-03-01T04:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,70
2016-03-01T04:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,114
2016-03-01T04:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,101
2016-03-01T04:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,103
2016-03-01T04:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,122
2016-03-01T04:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,119
2016-03-01T04:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,114
2016-03-01T04:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,86
2016-03-01T04:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,111
2016-03-01T04:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,52
2016-03-01T05:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,70
2016-03-01T05:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,97
2016-03-01T05:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,83
2016-03-01T05:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,101
2016-03-01T05:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,101
2016-03-01T05:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,104
2016-03-01T05:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,101
2016-03-01T05:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,80
2016-03-01T05:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,109
2016-03-01T05:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,56
2016-03-01T06:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,70
2016-03-01T06:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,97
2016-03-01T06:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,83
2016-03-01T06:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,101
2016-03-01T06:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,101
2016-03-01T06:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,104
2016-03-01T06:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,101
2016-03-01T06:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,80
2016-03-01T06:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,109
2016-03-01T06:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,56
2016-03-01T07:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,66
2016-03-01T07:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,105
2016-03-01T07:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,83
2016-03-01T07:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,96
2016-03-01T07:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,102
2016-03-01T07:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,96
2016-03-01T07:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,103
2016-03-01T07:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,73
2016-03-01T07:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,109
2016-03-01T07:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,51
2016-03-01T08:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,65
2016-03-01T08:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,103
2016-03-01T08:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,84
2016-03-01T08:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,100
2016-03-01T08:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,104
2016-03-01T08:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,91
2016-03-01T08:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,105
2016-03-01T08:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,66
2016-03-01T08:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,101
2016-03-01T08:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,55
2016-03-01T09:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,57
2016-03-01T09:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,98
2016-03-01T09:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,81
2016-03-01T09:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,93
2016-03-01T09:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,101
2016-03-01T09:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,95
2016-03-01T09:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,111
2016-03-01T09:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,67
2016-03-01T09:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,99
2016-03-01T09:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,53
2016-03-01T11:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,59
2016-03-01T11:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,102
2016-03-01T11:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,72
2016-03-01T11:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,83
2016-03-01T11:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,83
2016-03-01T11:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,88
2016-03-01T11:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,94
2016-03-01T11:00:00Z,101220101,Anhui,Hefei,1277A,117.354000,31.791000,82
2016-03-01T11:00:00Z,101220101,Anhui,Hefei,1278A,120.249000,31.467000,80
2016-03-01T11:00:00Z,101220101,Anhui,Hefei,1279A,117.142000,31.838000,89
2016-03-01T12:00:00Z,101220101,Anhui,Hefei,1270A,117.233000,31.786000,78
2016-03-01T12:00:00Z,101220101,Anhui,Hefei,1271A,117.323000,31.874000,90
2016-03-01T12:00:00Z,101220101,Anhui,Hefei,1272A,117.272000,31.871000,61
2016-03-01T12:00:00Z,101220101,Anhui,Hefei,1273A,117.208000,31.895000,81
2016-03-01T12:00:00Z,101220101,Anhui,Hefei,1274A,117.296000,31.867000,93
2016-03-01T12:00:00Z,101220101,Anhui,Hefei,1275A,117.248000,31.913000,82
2016-03-01T12:00:00Z,101220101,Anhui,Hefei,1276A,117.331000,31.905000,95
